n_components,n_neighbors,min_dist,min_cluster_size,min_samples,top_n_words,coherence_score,cohenrece_score_umass,n_topics
5,10,0.01,10,5,5,0.41520030607447794,-11.678463757213146,15
9,15,0.05,10,5,10,0.415193916442072,-12.527377858594456,7
17,5,0.01,10,5,10,0.41442889941654165,-14.174574175095001,14
10,15,0.01,5,5,5,0.4138836926537749,,15
12,5,0.01,5,5,10,0.4135556542942375,-14.416327301899251,13
3,20,0.01,5,5,10,0.41344433445163664,-13.555174668266453,19
20,5,0.01,5,5,10,0.4133609522425064,-13.99605038169124,13
17,20,0.05,10,5,5,0.4129920428704704,-11.32900853284299,12
17,10,0.05,10,5,5,0.41299071090955375,-10.07615219216374,5
11,15,0.0,10,5,5,0.41299071090955375,-10.07615219216374,5
17,5,0.05,5,5,10,0.4125818061002326,-14.346150376928911,12
19,5,0.01,5,5,10,0.4120863965805349,-13.349791894551451,10
7,5,0.05,10,5,5,0.4117812660314922,-9.894148435392621,13
7,5,0.0,10,5,10,0.41176955963605677,-13.493620601024437,11
9,5,0.05,10,5,10,0.41167652231488855,-12.395613254333517,12
12,15,0.0,10,5,10,0.4116058106936295,-12.37583666780856,5
19,10,0.0,10,5,10,0.41139239422570195,-11.97924198342384,19
10,5,0.01,5,5,10,0.4108702187405902,-14.62662526250762,21
13,20,0.0,10,5,5,0.41084375787666483,-11.263337865883804,11
8,20,0.0,10,5,5,0.4108403756368121,-11.22299148209726,11
5,5,0.0,5,5,5,0.4107830314508402,-12.340573687593512,16
15,20,0.01,10,5,10,0.4098665894711191,-12.869802418244092,12
9,15,0.0,10,5,5,0.40966497084750647,-10.461415438090688,4
19,20,0.0,10,5,10,0.40922894010233923,-12.568412434174956,11
21,20,0.01,10,5,5,0.40880521592622104,-10.759313249047162,12
19,20,0.0,5,5,10,0.4083111449620334,-12.402122293022002,16
9,10,0.01,5,5,10,0.40797817419802085,-11.873517295082383,17
3,20,0.05,5,5,10,0.4076953334659178,-12.656844185436325,23
17,10,0.05,10,5,10,0.4076086244226793,-12.604309433243976,5
19,10,0.0,5,5,10,0.40760277938690986,-12.861752878072712,23
5,5,0.0,10,5,10,0.4075133852933608,-14.884707247700868,9
3,20,0.01,10,5,10,0.40721045657240007,-13.11635185901856,10
15,5,0.0,5,5,10,0.407048808572975,-13.133075899733294,22
3,20,0.0,10,5,10,0.4069228458733397,-13.682319106934079,11
15,15,0.05,5,5,10,0.4069216696704178,-13.49394902766097,19
9,20,0.0,10,5,10,0.40680874334239686,-13.333303103227257,12
3,15,0.05,5,5,10,0.40671500062611643,,24
5,10,0.0,5,5,10,0.40667420557118017,-12.14637959154559,14
11,15,0.01,10,5,10,0.4066017009381207,-12.359988017676056,5
19,5,0.01,10,5,5,0.40607275652257124,-11.986853888726802,5
15,5,0.01,10,5,5,0.40603519356087897,-10.875749779418603,12
21,15,0.0,10,5,5,0.40583014675259427,-11.427818846172325,10
20,5,0.0,10,5,5,0.4058246639478083,-11.224052786708835,12
17,20,0.01,10,5,10,0.40535616069873515,-13.51661808576423,11
5,20,0.01,10,5,5,0.4048821848381712,-11.461541698670004,8
11,20,0.05,10,5,5,0.4048567437886999,-10.623327881244029,13
7,5,0.0,10,5,5,0.4045568440272998,-11.766880609808801,11
8,10,0.01,10,5,5,0.4044169036486175,-11.111574690890455,11
21,20,0.01,5,5,10,0.40423184463693423,-12.323542836883238,14
17,15,0.0,10,5,10,0.40409660900911376,-12.582223777272803,4
21,20,0.05,10,5,5,0.4037377152704362,-10.819981260795387,12
8,5,0.0,5,5,10,0.403564131056128,-13.700130003068177,10
19,20,0.01,5,5,10,0.40341019403994893,-12.309315437630875,16
9,5,0.01,10,5,5,0.40338378856754437,-10.83768171019968,13
20,5,0.01,10,5,5,0.4027345411274943,-11.374236393517767,13
11,20,0.0,10,5,10,0.4026299718516656,-12.724462348392022,14
3,5,0.0,5,5,10,0.40261571429521353,-14.540104524992534,13
13,20,0.01,10,5,5,0.40254577295290994,-12.150749453306188,11
20,20,0.0,10,5,10,0.4021460651033021,-12.649074465551362,14
7,20,0.0,10,5,5,0.4020252915139408,-11.163219075881264,11
7,5,0.05,5,5,10,0.40200382817101976,-12.02689863411174,9
13,5,0.0,5,5,10,0.40182051298772004,-12.962080401188462,14
9,10,0.01,10,5,10,0.4017642497276208,-12.85451474455749,17
9,5,0.0,5,5,10,0.40123804189346246,-14.453126869010175,14
20,20,0.01,10,5,5,0.4009215035153652,-11.42632701282792,12
15,10,0.05,10,5,10,0.4007288447737284,-12.693584367626817,15
17,5,0.0,5,5,10,0.4006344347534607,-13.899635207517111,23
7,10,0.05,10,5,5,0.40047490401399144,-11.750474310923103,14
20,10,0.01,10,5,10,0.4003974619483808,-12.314028690512826,15
17,20,0.05,10,5,10,0.40024476936867737,-13.398148691762692,12
15,20,0.0,5,5,10,0.39964252448539284,-12.251013619410637,21
13,15,0.05,10,5,10,0.3993644634032946,-13.188595911798087,12
5,20,0.0,10,5,10,0.39887713757235893,-13.62956842033937,7
20,20,0.01,5,5,10,0.3986921081647062,-13.16136382188916,22
3,20,0.05,10,5,10,0.3981338492904953,-13.395170944257876,11
21,15,0.05,10,5,10,0.3973479473604398,-12.895124109891432,14
21,20,0.01,10,5,10,0.39708879179695117,-13.242253722126115,12
12,20,0.01,5,5,10,0.3968645948279724,-12.62849361079412,22
8,15,0.0,10,5,10,0.3964765914729636,-12.93198768728083,12
15,5,0.01,10,5,10,0.3964664547408103,-13.621083565722802,12
11,5,0.05,10,5,10,0.39617210844078404,-14.194580738934329,18
3,15,0.01,5,5,10,0.39609007037850075,-12.682041548205673,26
20,5,0.0,5,5,10,0.3958638527221719,-12.910328910459056,10
19,20,0.01,10,5,10,0.3958034425163254,-12.568314059057428,11
10,15,0.01,5,5,10,0.3957725330499676,,15
11,5,0.05,5,5,10,0.39523731398925677,-13.353017958634515,14
17,10,0.01,10,5,10,0.3951102840136162,-12.70818382014784,16
11,15,0.01,5,5,10,0.39484585469157857,-13.837993317917478,17
